#id	AI名称	稀有度	等级	类型	职类	策略1	策略2	策略3	策略4	策略5	策略6	策略7	策略8	策略9	策略10
38	剑士AI LV9	1	9	0	10	8,0,1200	103,2,308	0,2,200508							
39	剑士AI LV10	1	10	0	10	8,0,1200	103,2,309	0,2,200509							
40	骑士AI LV1	1	1	0	30	8,0,1200	107,7,26100	105,7,700	0,2,300						
41	骑士AI LV2	1	2	0	30	8,0,1200	107,7,26101	105,7,701	103,2,301	0,2,200501					
42	骑士AI LV3	1	3	0	30	8,0,1200	107,7,26102	105,7,702	103,2,302	0,2,200502					
43	骑士AI LV4	1	4	0	30	8,0,1200	107,7,26103	105,7,703	103,2,303	0,2,200503					
44	骑士AI LV5	1	5	0	30	8,0,1200	107,7,26104	105,7,704	103,2,304	0,2,200504					
45	骑士AI LV6	1	6	0	30	8,0,1200	107,7,26105	105,7,705	103,2,305	0,2,200505					
46	骑士AI LV7	1	7	0	30	8,0,1200	107,7,26106	105,7,706	103,2,306	0,2,200506					
47	骑士AI LV8	1	8	0	30	8,0,1200	107,7,26107	105,7,707	103,2,307	0,2,200507					
48	骑士AI LV9	1	9	0	30	8,0,1200	107,7,26108	105,7,708	103,2,308	0,2,200508					
49	骑士AI LV10	1	10	0	30	8,0,1200	107,7,26109	105,7,709	103,2,309	0,2,200509					
50	弓手AI LV1	1	1	0	40	8,0,1200	103,2,300	0,2,9500							
51	弓手AI LV2	1	2	0	40	8,0,1200	103,2,301	0,2,9501							
52	弓手AI LV3	1	3	0	40	8,0,1200	103,2,302	0,2,9502							
53	弓手AI LV4	1	4	0	40	8,0,1200	103,2,303	0,2,9503							
54	弓手AI LV5	1	5	0	40	8,0,1200	103,2,304	0,2,9504							
55	弓手AI LV6	1	6	0	40	8,0,1200	103,2,305	0,2,9505							
56	弓手AI LV7	1	7	0	40	8,0,1200	103,2,306	0,2,9506							
57	弓手AI LV8	1	8	0	40	8,0,1200	103,2,307	0,2,9507							
58	弓手AI LV9	1	9	0	40	8,0,1200	103,2,308	0,2,9508							
59	弓手AI LV10	1	10	0	40	8,0,1200	103,2,309	0,2,9509							
60	地属性魔法LV1	1	1	0	70	8,4,3100	103,2,1900	0,2,2700							
61	地属性魔法LV2	1	2	0	70	8,4,3101	103,2,1901	0,2,2701							
62	地属性魔法LV3	1	3	0	70	8,4,3102	103,2,1902	0,2,2702							
63	地属性魔法LV4	1	4	0	70	8,4,3103	103,2,1903	0,2,2703							
64	地属性魔法LV5	1	5	0	70	8,4,3104	103,2,1904	0,2,2704							
65	地属性魔法LV6	1	6	0	70	8,4,3105	103,2,1905	0,2,2705							
66	地属性魔法LV7	1	7	0	70	8,4,3106	103,2,1906	0,2,2706							
67	地属性魔法LV8	1	8	0	70	8,4,3107	103,2,1907	0,2,2707							
68	地属性魔法LV9	1	9	0	70	8,4,3108	103,2,1908	0,2,2708							
69	地属性魔法LV10	1	10	0	70	8,4,3109	103,2,1909	0,2,2709							
70	水属性魔法LV1	1	1	0	70	8,4,3100	103,2,2000	0,2,2800							
71	水属性魔法LV2	1	2	0	70	8,4,3101	103,2,2001	0,2,2801							
72	水属性魔法LV3	1	3	0	70	8,4,3102	103,2,2002	0,2,2802							
73	水属性魔法LV4	1	4	0	70	8,4,3103	103,2,2003	0,2,2803							
74	水属性魔法LV5	1	5	0	70	8,4,3104	103,2,2004	0,2,2804							
75	水属性魔法LV6	1	6	0	70	8,4,3105	103,2,2005	0,2,2805							
76	水属性魔法LV7	1	7	0	70	8,4,3106	103,2,2006	0,2,2806							
77	水属性魔法LV8	1	8	0	70	8,4,3107	103,2,2007	0,2,2807							
78	水属性魔法LV9	1	9	0	70	8,4,3108	103,2,2008	0,2,2808							
79	水属性魔法LV10	1	10	0	70	8,4,3109	103,2,2009	0,2,2809							
80	火属性魔法LV1	1	1	0	70	8,4,3100	103,2,2100	0,2,2900							
81	火属性魔法LV2	1	2	0	70	8,4,3101	103,2,2101	0,2,2901							
82	火属性魔法LV3	1	3	0	70	8,4,3102	103,2,2102	0,2,2902							
83	火属性魔法LV4	1	4	0	70	8,4,3103	103,2,2103	0,2,2903							
84	火属性魔法LV5	1	5	0	70	8,4,3104	103,2,2104	0,2,2904							
85	火属性魔法LV6	1	6	0	70	8,4,3105	103,2,2105	0,2,2905							
86	火属性魔法LV7	1	7	0	70	8,4,3106	103,2,2106	0,2,2906							
87	火属性魔法LV8	1	8	0	70	8,4,3107	103,2,2107	0,2,2907							
88	火属性魔法LV9	1	9	0	70	8,4,3108	103,2,2108	0,2,2908							
89	火属性魔法LV10	1	10	0	70	8,4,3109	103,2,2109	0,2,2909							
90	风属性魔法LV1	1	1	0	70	8,4,3100	103,2,2200	0,2,3000							
91	风属性魔法LV2	1	2	0	70	8,4,3101	103,2,2201	0,2,3001							
92	风属性魔法LV3	1	3	0	70	8,4,3102	103,2,2202	0,2,3002							
93	风属性魔法LV4	1	4	0	70	8,4,3103	103,2,2203	0,2,3003							
94	风属性魔法LV5	1	5	0	70	8,4,3104	103,2,2204	0,2,3004							
95	风属性魔法LV6	1	6	0	70	8,4,3105	103,2,2205	0,2,3005							
96	风属性魔法LV7	1	7	0	70	8,4,3106	103,2,2206	0,2,3006							
97	风属性魔法LV8	1	8	0	70	8,4,3107	103,2,2207	0,2,3007							
98	风属性魔法LV9	1	9	0	70	8,4,3108	103,2,2208	0,2,3008							
99	风属性魔法LV10	1	10	0	70	8,4,3109	103,2,2209	0,2,3009							
100	格斗AI LV1	1	1	0	140	8,0,1200	104,2,400	0,2,400							
101	格斗AI LV2	1	2	0	140	8,0,1200	104,2,401	0,2,401							
102	格斗AI LV3	1	3	0	140	8,0,1200	104,2,402	0,2,402							
103	格斗AI LV4	1	4	0	140	8,0,1200	104,2,402	0,2,403							
104	格斗AI LV5	1	5	0	140	8,0,1200	104,2,402	0,2,404							
105	格斗AI LV6	1	6	0	140	8,0,1200	104,2,402	0,2,405							
106	格斗AI LV7	1	7	0	140	8,0,1200	104,2,402	0,2,406							
107	格斗AI LV8	1	8	0	140	8,0,1200	104,2,402	0,2,407							
108	格斗AI LV9	1	9	0	140	8,0,1200	104,2,402	0,2,408							
109	格斗AI LV10	1	10	0	140	8,0,1200	104,2,402	0,2,409							
110	合击血少-通用	1	1	0	-1	8,0,1200	0,6,-100								
111	合击血多-通用	1	1	0	-1	8,0,1200	0,4,-100								
112	英雄防御-通用	1	1	0	-1	8,0,1200	0,0,-200								
113	宠物合击血少	1	1	1	-1	8,0,1200	0,6,-100								
114	宠物合击血多	1	1	1	-1	8,0,1200	0,4,-100								
115	宠物防御	1	1	1	-1	8,0,1200	0,0,-200								
116	宠物乾坤LV1	1	1	1	-1	8,0,1200	0,2,301								
117	宠物乾坤LV2	1	3	1	-1	8,0,1200	0,2,303								
118	宠物乾坤LV3	1	5	1	-1	8,0,1200	0,2,305								
119	宠物乾坤LV4	1	7	1	-1	8,0,1200	0,2,307								
120	宠物乾坤LV5	1	9	1	-1	8,0,1200	0,2,309								
121	宠物连击LV1	1	1	1	-1	8,0,1200	0,2,1								
122	宠物连击LV2	1	3	1	-1	8,0,1200	0,2,3								
123	宠物连击LV3	1	5	1	-1	8,0,1200	0,2,5								
124	宠物连击LV4	1	7	1	-1	8,0,1200	0,2,7								
125	宠物连击LV5	1	9	1	-1	8,0,1200	0,2,9								
126	宠物崩击	1	1	1	-1	8,0,1200	0,2,503								
127	宠物护卫	1	1	1	-1	8,0,1200	0,7,704								
128	地属性魔法LV1	1	1	1	-1	8,4,3100	103,2,1900	0,2,2700							
129	地属性魔法LV2	1	2	1	-1	8,4,3101	103,2,1901	0,2,2701							
130	地属性魔法LV3	1	3	1	-1	8,4,3102	103,2,1902	0,2,2702							
131	地属性魔法LV4	1	4	1	-1	8,4,3103	103,2,1903	0,2,2703							
132	地属性魔法LV5	1	5	1	-1	8,4,3104	103,2,1904	0,2,2704							
133	地属性魔法LV6	1	6	1	-1	8,4,3105	103,2,1905	0,2,2705							
134	地属性魔法LV7	1	7	1	-1	8,4,3106	103,2,1906	0,2,2706							
135	地属性魔法LV8	1	8	1	-1	8,4,3107	103,2,1907	0,2,2707							
136	地属性魔法LV9	1	9	1	-1	8,4,3108	103,2,1908	0,2,2708							
137	地属性魔法LV10	1	10	1	-1	8,4,3109	103,2,1909	0,2,2709							
138	水属性魔法LV1	1	1	1	-1	8,4,3100	103,2,2000	0,2,2800							
139	水属性魔法LV2	1	2	1	-1	8,4,3101	103,2,2001	0,2,2801							
140	水属性魔法LV3	1	3	1	-1	8,4,3102	103,2,2002	0,2,2802							
141	水属性魔法LV4	1	4	1	-1	8,4,3103	103,2,2003	0,2,2803							
142	水属性魔法LV5	1	5	1	-1	8,4,3104	103,2,2004	0,2,2804							
143	水属性魔法LV6	1	6	1	-1	8,4,3105	103,2,2005	0,2,2805							
144	水属性魔法LV7	1	7	1	-1	8,4,3106	103,2,2006	0,2,2806							
145	水属性魔法LV8	1	8	1	-1	8,4,3107	103,2,2007	0,2,2807							
146	水属性魔法LV9	1	9	1	-1	8,4,3108	103,2,2008	0,2,2808							
147	水属性魔法LV10	1	10	1	-1	8,4,3109	103,2,2009	0,2,2809							
148	火属性魔法LV1	1	1	1	-1	8,4,3100	103,2,2100	0,2,2900							
149	火属性魔法LV2	1	2	1	-1	8,4,3101	103,2,2101	0,2,2901							
150	火属性魔法LV3	1	3	1	-1	8,4,3102	103,2,2102	0,2,2902							
151	火属性魔法LV4	1	4	1	-1	8,4,3103	103,2,2103	0,2,2903							
152	火属性魔法LV5	1	5	1	-1	8,4,3104	103,2,2104	0,2,2904							
153	火属性魔法LV6	1	6	1	-1	8,4,3105	103,2,2105	0,2,2905							
154	火属性魔法LV7	1	7	1	-1	8,4,3106	103,2,2106	0,2,2906							
155	火属性魔法LV8	1	8	1	-1	8,4,3107	103,2,2107	0,2,2907							
156	火属性魔法LV9	1	9	1	-1	8,4,3108	103,2,2108	0,2,2908							
157	火属性魔法LV10	1	10	1	-1	8,4,3109	103,2,2109	0,2,2909							
158	风属性魔法LV1	1	1	1	-1	8,4,3100	103,2,2200	0,2,3000							
159	风属性魔法LV2	1	2	1	-1	8,4,3101	103,2,2201	0,2,3001							
160	风属性魔法LV3	1	3	1	-1	8,4,3102	103,2,2202	0,2,3002							
161	风属性魔法LV4	1	4	1	-1	8,4,3103	103,2,2203	0,2,3003							
162	风属性魔法LV5	1	5	1	-1	8,4,3104	103,2,2204	0,2,3004							
163	风属性魔法LV6	1	6	1	-1	8,4,3105	103,2,2205	0,2,3005							
164	风属性魔法LV7	1	7	1	-1	8,4,3106	103,2,2206	0,2,3006							
165	风属性魔法LV8	1	8	1	-1	8,4,3107	103,2,2207	0,2,3007							
166	风属性魔法LV9	1	9	1	-1	8,4,3108	103,2,2208	0,2,3008							
167	风属性魔法LV10	1	10	1	-1	8,4,3109	103,2,2209	0,2,3009							
168	传教超恢AI LV10	1	10	0	60	89,5,6629	95,7,6310	203,48,6709	97,46,6809	98,47,6809	96,7,6310	106,7,6109	202,48,6709	201,48,6702	0,2,26720
169	宠物气功蛋LV10	1	1	1	-1	8,0,1200	103,2,309	0,2,450							
170	士兵地魔法	1	1	0	50	8,4,3109	103,2,1909	0,2,2799							
171	士兵水魔法	1	1	0	50	8,4,3109	103,2,2009	0,2,2899							
172	士兵火魔法	1	1	0	50	8,4,3109	103,2,2109	0,2,2999							
173	士兵风魔法	1	1	0	50	8,4,3109	103,2,2209	0,2,3099							
174	士兵气功蛋	1	1	0	50	8,0,1200	104,2,402	0,2,499							
175	士兵护卫追月	1	1	0	50	8,0,1200	107,7,26109	105,7,709	103,2,309	0,2,200509	0,6,-100																
# 宠物 明镜, 气功弹, 乾坤															
240	宠物综合物理攻击·LV1	1	1	1	-1	7,0,1201	86,6,401	103,6,330	0,6,-100						
241	宠物综合物理攻击·LV2	1	3	1	-1	7,0,1203	86,6,403	103,6,332	0,6,-100						
242	宠物综合物理攻击·LV3	1	5	1	-1	7,0,1205	86,6,405	103,6,334	0,6,-100						
243	宠物综合物理攻击·LV4	1	7	1	-1	7,0,1207	86,6,407	103,6,336	0,6,-100						
244	宠物综合物理攻击·LV5	1	9	1	-1	7,0,1209	86,6,409	103,6,338	0,6,-100						
250	宠物综合物理攻击·LEX	1	10	1	-1	7,0,1250	86,6,450	103,6,358	0,6,-100						
# 宠物 明镜, 战栗, 乾坤															
251	宠物综合物理攻击·BOSS	1	10	1	-1	7,0,1250	36,13,638	83,6,359	0,6,-100																			
# 五转剑士AI 明镜, 鸿雁追月(>5), 连击-狂舞(<=3), 连击-破灭(==1), 攻击															
5100	武士·AI	1	1	0	3010	7,0,1209	82,6,26289	85,6,200588	102,6,200589	0,6,-100					
# 五转剑士BOSS 明镜, 战栗, 连击-破灭, 攻击															
5110	武士·BOSS	1	1	0	3010	7,0,1209	36,13,609	83,6,26289	82,6,200589	0,6,-100					
# 五转战斧AI 明镜, 戒骄戒躁, 攻击															
5200	狂战士·AI	1	1	0	1910	7,0,1249	102,6,319	86,6,405	85,6,25709	0,6,-100					
# 五转战斧BOSS 明镜, 战栗, 戒骄戒躁, 攻击															
5210	狂战士·BOSS	1	1	0	1910	7,0,1249	36,13,609	83,6,319	0,6,-100						
# 五转骑士AI 明镜, 一石二鸟, 攻击															
5300	圣骑士·AI	1	1	0	1950	7,0,1209	7,0,6148	27,0,1109	95,1,26149	97,5,749	83,6,149	0,6,-100			
# 五转骑士BOSS 明镜, 战栗, 护卫, 															
5310	圣骑士·BOSS	1	1	0	1950	7,0,6148	36,13,609	27,0,1109	83,1,26149	0,6,-100					
# 五转弓AI															
5400	重装射手·AI	1	1	0	1900	7,0,1209	27,0,6409	102,6,9589	85,6,9519	0,6,-100					
# 五转弓BOSS															
# 5410															
# 五转格AI															
5500	龙虎斗士·AI	1	1	0	1990	7,0,1200	102,6,449	85,6,448	0,6,-100						
# 五转格BOSS															
# 5510															
# 五转兵AI															
# 5600															
# 五转兵BOSS															
# 5610															
# 五转魔AI															
5700	陨石魔法·极魔	1	1	0	1940	7,4,3149	100,6,1949	0,6,2749	27,6,25705	0,6,-100					
5710	冰冻魔法·极魔	1	1	0	1940	7,4,3149	100,6,2049	0,6,2849	27,6,25705	0,6,-100					
5720	火焰魔法·极魔	1	1	0	1940	7,4,3149	100,6,2149	0,6,2949	27,6,25705	0,6,-100					
5730	风刃魔法·极魔	1	1	0	1940	7,4,3149	100,6,2249	0,6,3049	27,6,25705	0,6,-100					
# 五转魔BOSS															
# 5740															
# 五转传AI															
5800	白羽神使·AI	1	1	0	1920	97,46,6849	98,47,6849	96,5,6349	7,0,6149	86,0,6609	201,48,6702	202,48,6709	27,6,25706	0,6,-100	
# 五转传BOSS															
# 5810															
# 五转巫AI															
5900	星之巫·AI	1	1	0	1980	97,46,6849	98,47,6849	95,0,6619	86,5,6309	26,5,6419	201,48,6702	202,48,6709	27,6,25706	0,6,-100	
# 五转巫BOSS															
5910	星之巫·BOSS	1	1	0	1980	61,5,6619	97,46,6849	98,47,6849	108,5,6149	95,5,6349	201,48,6702	202,48,6709	83,5,5919	0,6,-100	
# 五转咒AI															
# 6000															
# 五转咒BOSS															
# 6010															
# 五转忍AI															
# 6100															
# 五转忍BOSS															
# 6110															
# 五转宠AI															
# 6200															
# 五转宠BOSS															
# 6210															
# 五转炸AI															
# 6300															
# 五转炸BOSS															
# 6310															
